customer_id,energy_mean,energy_std,energy_max,energy_min,energy_range,energy_freq_mean,energy_freq_std,energy_freq_max,energy_freq_min
customer_001,3.2132,103.085,3318.0,0.0,3318.0,3318.0088,1.2472,3325.7027,3314.4983
customer_002,-593576.0643,2128473.1987,3318.0,-14269575.7268,14272893.7268,28174411.7743,68041405.1067,614351226.526,7201067.21
customer_003,4.2121,103.1292,3318.0,0.0,3318.0,3320.0564,99.4599,4359.477,3023.5973
customer_004,6.7827,2.5738,18.52,0.0,18.52,73.7713,311.0357,7020.1044,0.5102
customer_005,20002467.9854,36169208.2476,198544292.8063,0.0,198544292.8063,748815235.9499,1273987317.242,20702554364.9048,28390709.0586
customer_006,5.7021,1.6647,16.74,0.0,16.74,47.725,260.6886,5901.6314,1.1998
customer_007,4.3365,103.0607,3318.0,0.0,3318.0,3319.3301,62.1457,4488.2799,2987.3989
customer_008,12.0012,5.7771,55.47,0.0,55.47,146.1244,558.2462,12421.2749,4.3361
customer_009,5293528.0345,9902695.7389,58590491.0311,-0.5942,58590491.6253,216801026.8416,335506316.312,5478801515.71,15549661.0996
customer_010,4.3365,103.0607,3318.0,0.0,3318.0,3319.3301,62.1457,4488.2799,2987.3989
